Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15",0603,2,1u,
C10,0402,1,1n,
"C11, C14, C7",0402,3,22n,
"C12, C8",0603,2,4u7,
C13,0402,1,3n3,
"C2, C4",1210,2,47u,
"C3, C5, C6",0402,3,100n,
C9,0603,1,2u2,
"D1, D2, D4, D5",D_SOD-123,4,SM5817PL,
D3,0603,1,LED,
D6,SOT-23-3,1,MMBD7000,
"GAIN1, TONE1, VOLUME1",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,3,A100k,
"J1, J2, J3",SJ225404DSMTTR,3,SJ2-25404D-SMT-TR,
K1,UD25NUN,1,UD2-5NU,
Q1,SOT-23,1,MMBFJ201,
"R1, R6, R8",0402,3,100k,
"R10, R16, R9",0402,3,1M,
"R11, R14, R15",0402,3,1k,
"R12, R5",0402,2,560R,
"R13, R4",0402,2,47R,
"R17, R2, R3",0402,3,10k,
R7,0402,1,100R,
SW1,SKRPANE010,1,SKRPANE010,
U1,VSSOP-8_3x3mm_P0.65mm,1,LM555xMM,
U2,SOT95P275X110-5N,1,LM321SN3T1G,
