Designator,Mid X,Mid Y,Rotation,Layer
C1,13.97,6.0325,180.0,top
C10,25.7175,15.625,0.0,top
C11,26.66375,21.74875,0.0,top
C12,27.91875,23.1775,0.0,top
C13,17.30375,15.71625,90.0,top
C14,16.03375,15.71625,90.0,top
C15,4.445,21.9075,90.0,top
C2,27.305,6.35,270.0,top
C3,24.765,7.62,270.0,top
C4,15.875,30.1625,0.0,top
C5,17.145,27.94,0.0,top
C6,26.3525,11.94,90.0,top
C7,28.2575,14.51375,180.0,top
C8,30.1625,17.68875,90.0,top
C9,23.33625,22.2925,270.0,top
D1,14.605,24.92375,180.0,top
D2,14.605,22.38375,180.0,top
D3,15.875,7.3025,0.0,bottom
D4,11.7475,8.41375,0.0,top
D5,6.50875,10.63625,180.0,top
D6,13.335,14.76375,270.0,top
FID1,1.27,37.7825,0.0,top
FID2,30.48,1.27,0.0,top
FID3,30.48,37.7825,0.0,bottom
FID4,1.27,1.27,0.0,bottom
GAIN1,24.765,29.1925,90.0,bottom
J1,6.985,32.62,180.0,top
J2,15.875,32.62,180.0,bottom
J3,24.765,32.62,180.0,top
K1,6.50875,6.82625,270.0,bottom
Q1,14.605,18.89125,90.0,top
R1,16.35125,6.82625,270.0,top
R10,25.24125,11.94,90.0,top
R11,25.7175,14.51375,180.0,top
R12,28.73375,18.165,270.0,top
R13,24.60625,22.2925,90.0,top
R14,28.73375,21.2725,270.0,top
R15,17.30375,13.6525,90.0,top
R16,16.66875,17.30375,0.0,top
R17,5.87375,21.43125,90.0,top
R2,20.6375,4.7625,0.0,top
R3,20.6375,3.4925,180.0,top
R4,15.08125,27.94,0.0,top
R5,15.08125,7.9375,90.0,top
R6,28.575,11.94,270.0,top
R7,10.00125,10.63625,180.0,top
R8,27.46375,11.94,90.0,top
R9,28.2575,15.625,180.0,top
SW1,15.875,2.54,0.0,top
TONE1,15.875,15.2225,90.0,bottom
U1,20.6375,7.3025,180.0,top
U2,26.19375,18.95875,90.0,top
VOLUME1,6.985,29.1925,90.0,bottom
